id,category_id,name,display_order,is_active,created_at,updated_at
1,2,DI (Dependency Injection),3,t,2026-01-26 08:01:19.869+00,2026-01-26 08:01:19.869+00
2,3,ORM,1,t,2026-01-26 08:01:19.869+00,2026-01-26 08:01:19.869+00
3,4,RDBMS vs NoSQL,1,t,2026-01-26 08:01:19.869+00,2026-01-26 08:01:19.869+00
4,5,Array vs LinkedList,1,t,2026-01-26 08:01:19.869+00,2026-01-26 08:01:19.869+00
5,6,시간 복잡도,1,t,2026-01-26 08:01:19.869+00,2026-01-26 08:01:19.869+00
6,7,프로세스 vs 스레드,1,t,2026-01-26 08:01:19.869+00,2026-01-26 08:01:19.869+00
7,8,OSI 7계층,1,t,2026-01-26 08:01:19.869+00,2026-01-26 08:01:19.869+00
8,9,브라우저 동작 원리,1,t,2026-01-26 08:01:19.869+00,2026-01-26 08:01:19.869+00
9,10,싱글톤 패턴,1,t,2026-01-26 08:01:19.869+00,2026-01-26 08:01:19.869+00
10,11,객체지향 프로그래밍 (OOP),1,t,2026-01-26 08:01:19.869+00,2026-01-26 08:01:19.869+00
11,12,모놀리식 vs 마이크로서비스,1,t,2026-01-26 08:01:19.869+00,2026-01-26 08:01:19.869+00
12,13,CI/CD,1,t,2026-01-26 08:01:19.869+00,2026-01-26 08:01:19.869+00
13,14,Git vs GitHub,1,t,2026-01-26 08:01:19.869+00,2026-01-26 08:01:19.869+00
14,15,단위 테스트,1,t,2026-01-26 08:01:19.869+00,2026-01-26 08:01:19.869+00
15,16,캐시,1,t,2026-01-26 08:01:19.869+00,2026-01-26 08:01:19.869+00
16,17,Virtual DOM,1,t,2026-01-26 08:01:19.869+00,2026-01-26 08:01:19.869+00
17,1,JVM,1,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
18,1,JDK vs JRE,2,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
19,1,Garbage Collection,3,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
20,1,"메모리 구조 (Heap, Stack)",4,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
21,1,Class Loader,5,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
22,1,Reflection,6,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
23,1,Generic,7,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
24,1,Annotation,8,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
25,1,Stream API,9,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
26,1,Lambda,10,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
27,1,Optional,11,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
28,1,Checked vs Unchecked Exception,12,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
29,1,equals()와 hashCode(),13,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
30,1,String vs StringBuilder vs StringBuffer,14,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
31,1,Immutable Object,15,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
32,1,직렬화 (Serialization),16,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
33,1,Thread,17,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
34,1,synchronized,18,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
35,1,volatile,19,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
36,1,ThreadLocal,20,t,2026-01-26 11:08:51.46+00,2026-01-26 11:08:51.46+00
37,2,Spring vs Spring Boot,1,t,2026-02-01 13:04:13.417404+00,2026-02-01 13:04:13.417404+00
38,2,IoC (Inversion of Control),2,t,2026-02-01 13:04:13.417404+00,2026-02-01 13:04:13.417404+00
